movie_id,title,description,genre,review,actors,directors,release_date,original_language,vote_average,vote_count,source_dataset
19913,(500) Days of Summer,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.","Comedy, Drama, Romance","review: okay/good film, some issues; rating=7.2","Joseph Gordon-Levitt, Zooey Deschanel, Chloë Grace Moretz, Geoffrey Arend, Matthew Gray Gubler",Marc Webb,17-07-2009,en,7.2,2904,TMDB 5000 Movie Dataset
46195,Rio,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.","Animation, Adventure, Comedy, Family","review: okay/good film, some issues; rating=6.5","Jesse Eisenberg, Anne Hathaway, Leslie Mann, Jane Lynch, Will.i.am",Carlos Saldanha,03-04-2011,en,6.5,2166,TMDB 5000 Movie Dataset
1911,The 13th Warrior,"In AD 922, Arab courtier, Ahmad Ibn Fadlan accompanies a party of Vikings to the barbaric North to combat a terror that slaughters Vikings and devours their flesh.","Adventure, Fantasy, Action","Mixed-to-positive audience reaction. Some viewers liked the pacing, others found parts uneven. Score 6.4/10.","Antonio Banderas, Vladimir Kulich, Dennis Storhøi, Daniel Southern, Clive Russell",John McTiernan,27-08-1999,en,6.4,510,TMDB 5000 Movie Dataset
414,Batman Forever,,"Action, Crime, Fantasy",not bad not great; audience_score:5.2; votes:1498,Val Kilmer ; Tommy Lee Jones ; Jim Carrey ; Nicole Kidman ; Chris O'Donnell,Joel Schumacher,31-05-1995,en,5.2,1498,TMDB 5000 Movie Dataset
714,Tomorrow Never Dies,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,Adventure + Action + Thriller,"Mixed reviews. Viewers mention weak areas, but some still found it entertaining. Avg rating 6.0/10.","Pierce Brosnan, Jonathan Pryce, Michelle Yeoh, Teri Hatcher, Ricky Jay",Roger Spottiswoode,11-12-1997,en,6,925,TMDB 5000 Movie Dataset
18487,The Taking of Pelham 1 2 3,"Armed men hijack a New York City subway train, holding the passengers hostage in return for a ransom, and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime.","Thriller, Drama, Crime","review: okay/good film, some issues; rating=6.2","Denzel Washington, John Travolta, Luis Guzmán, Victor Gojcaj, John Turturro",Tony Scott,11-06-2009,en,6.2,954,TMDB 5000 Movie Dataset
201088,Blackhat,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.,"Crime, Drama, Mystery",not bad not great; audience_score:5.1; votes:826,"Chris Hemsworth, Leehom Wang, Tang Wei, Viola Davis, Holt McCallany",Michael Mann,13-01-2015,en,5.1,826,TMDB 5000 Movie Dataset
19265,Whatever Works,"Whatever Works explores the relationship between a crotchety misanthrope, Boris and a naïve, impressionable young runaway from the south, Melody. When Melody's uptight parents arrive in New York to rescue her, they are quickly drawn into wildly unexpected romantic entanglements. Everyone discovers that finding love is just a combination of lucky chance and appreciating the value of ""whatever works.""",N/A,"review: okay/good film, some issues; rating=6.8","Larry David, Evan Rachel Wood, Adam Brooks, Michael McKean, Lyle Kanouse",Woody Allen,19-06-2009,en,6.8,350,TMDB 5000 Movie Dataset
2619,Splash,"A successful businessman falls in love with the girl of his dreams. There's one big complication though; he's fallen hook, line and sinker for a mermaid.",Comedy + Fantasy + Romance,user says: not bad not great; audience_score:6.1; votes:321...,"Tom Hanks, Daryl Hannah, Eugene Levy, John Candy, Dody Goodman",Ron Howard,09-03-1984,en,6.1,321,TMDB 5000 Movie Dataset
10185,The Midnight Meat Train,"The photographer Leon lives with his girlfriend and waitress Maya waiting for a chance to get in the photo business. When Maya contacts their friend Jurgis, he schedules a meeting for Leon with the successful owner of arts gallery Susan Hoff; she analyzes Leon's work and asks him to improve the quality of his photos. During the night, the upset Leon decides to wander on the streets taking pictures with his camera, and he follows three punks down to the subway station; when the gang attacks a young woman, Leon defends her and the guys move on. On the next morning, Leon discovers that the woman is missing. He goes to the police station, but Detective Lynn Hadley does not give much attention to him and discredits his statement. Leon becomes obsessed to find what happened with the stranger and he watches the subway station. When he sees the elegant butcher Mahogany in the train, Leon believes he might be a murderer and stalks him everywhere, in the beginning of his journey to the darkness.","Mystery, Drama, Crime, Thriller, Horror",Average audience response; divisive movie with rating 6.0/10.,not available,Ryûhei Kitamura,07-08-2008,en,6,290,TMDB 5000 Movie Dataset
28211,Chloe,"A doctor hires an escort to seduce her husband, whom she suspects of cheating, though unforeseen events put the family in danger.","Drama, Thriller, Mystery","Mixed reviews. Viewers mention weak areas, but some still found it entertaining. Avg rating 5.9/10.","Julianne Moore, Liam Neeson, Amanda Seyfried, Max Thieriot, R. H. Thomson",Atom Egoyan,25-03-2009,en,5.9,498,TMDB 5000 Movie Dataset
44943,Battle: Los Angeles,"The Earth is attacked by unknown forces. As people everywhere watch the world's great cities fall, Los Angeles becomes the last stand for mankind in a battle no one expected. It's up to a Marine staff sergeant and his new platoon to draw a line in the sand as they take on an enemy unlike any they've ever encountered before.",action + SCIENCE FICTION,Average audience response; divisive movie with rating 5.5/10.,"Aaron Eckhart, Ramón Rodríguez, Will Rothhaar, Cory Hardrict, Jim Parrack",Jonathan Liebesman,08-03-2011,en,5.5,1448,TMDB 5000 Movie Dataset
157386,The Spectacular Now,"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""","Comedy, Drama, Romance","review: okay/good film, some issues; rating=6.8","Miles Teller, Shailene Woodley, Brie Larson, Dayo Okeniyi, Masam Holden",James Ponsoldt,02-08-2013,en,6.8,1048,TMDB 5000 Movie Dataset
9654,The Italian Job,"Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.","Action, Crime","user says: Decent watch; not perfect, but audience rating is around 6.6/10 from 1919 votes....","Mark Wahlberg, Charlize Theron, Edward Norton, Seth Green, Jason Statham",F. Gary Gray,30-05-2003,en,6.6,1919,TMDB 5000 Movie Dataset
451,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","Drama, Romance","Mixed-to-positive audience reaction. Some viewers liked the pacing, others found parts uneven. Score 7.1/10.",Nicolas Cage/Elisabeth Shue/Julian Sands/Richard Lewis/Steven Weber,Mike Figgis,27-10-1995,en,7.1,360,TMDB 5000 Movie Dataset
75900,My Week with Marilyn,"Sir Laurence Olivier is making a movie in London. Young Colin Clark, an eager film student, wants to be involved and he navigates himself a job on the set. When film star Marilyn Monroe arrives for the start of shooting, all of London is excited to see the blonde bombshell, while Olivier is struggling to meet her many demands and acting ineptness, and Colin is intrigued by her. Colin's intrigue is met when Marilyn invites him into her inner world where she struggles with her fame, her beauty and her desire to be a great actress.",Drama,"Mixed-to-positive audience reaction. Some viewers liked the pacing, others found parts uneven. Score 6.6/10.","Michelle Williams, Eddie Redmayne, Kenneth Branagh, Julia Ormond, Judi Dench",Simon Curtis,17-10-2011,en,6.6,406,TMDB 5000 Movie Dataset
76640,The Last Stand,"Ray Owens is sheriff of the quiet US border town of Sommerton Junction after leaving the LAPD following a bungled operation. Following his escape from the FBI, a notorious drug baron, his gang, and a hostage are heading toward Sommerton Junction where the police are preparing to make a last stand to intercept them before they cross the border. Owens is reluctant to become involved but ultimately joins in with the law enforcement efforts",,REVIEW: not bad not great; audience_score:5.7; votes:1266...,"Arnold Schwarzenegger, Forest Whitaker, Rodrigo Santoro, Johnny Knoxville, Jaimie Alexander",Kim Jee-woon,12-01-2013,en,5.7,1266,TMDB 5000 Movie Dataset
23168,The Town,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.","Crime, Drama, Thriller","Decent watch; not perfect, but audience rating is around 7.0/10 from 1468 votes.","Ben Affleck, Rebecca Hall, Jeremy Renner, Jon Hamm, Blake Lively",Ben Affleck,15-09-2010,en,7,1468,TMDB 5000 Movie Dataset
376659,Bad Moms,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",Comedy,"Decent watch; not perfect, but audience rating is around 6.3/10 from 1252 votes.","Mila Kunis, Kristen Bell, Kathryn Hahn, Christina Applegate, Jada Pinkett Smith","Jon Lucas, Scott Moore",28-07-2016,en,6.3,1252,TMDB 5000 Movie Dataset
14337,Primer,"Friends/fledgling entrepreneurs invent a device in their garage that reduces the apparent mass of any object placed inside it, but they accidentally discover that it has some highly unexpected capabilities -- ones that could enable them to do and to have seemingly anything they want. Taking advantage of this unique opportunity is the first challenge they face. Dealing with the consequences is the next.","Science Fiction, Drama, Thriller","Decent watch; not perfect, but audience rating is around 6.9/10 from 658 votes.","Shane Carruth, David Sullivan, Casey Gooden, Anand Upadhyaya, Carrie Crawford",Shane Carruth,08-10-2004,en,6.9,658,TMDB 5000 Movie Dataset
1858,Transformers,"Young teenager, Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it.","Adventure, Science Fiction, Action","Mixed-to-positive audience reaction. Some viewers liked the pacing, others found parts uneven. Score 6.6/10.","Shia LaBeouf, Josh Duhamel, Megan Fox, Rachael Taylor, Tyrese Gibson",Michael Bay,27-06-2007,en,6.6,4040,TMDB 5000 Movie Dataset
2085,Romeo Must Die,"Two warring gang families (one African-American, the other Chinese) maneuver for bragging rights to the Oakland, California, docks. Hang SIng and Trish O'Day uncover a trail of deceit that leaves most of the warring factions dead … or worse!","Action, Crime, Thriller","Mixed reviews. Viewers mention weak areas, but some still found it entertaining. Avg rating 6.0/10.","Jet Li, Aaliyah, Isaiah Washington, Russell Wong, DMX",Andrzej Bartkowiak,20-03-2000,en,6,330,TMDB 5000 Movie Dataset
10528,Sherlock Holmes,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.","Action, Adventure, Crime, Mystery","Decent watch; not perfect, but audience rating is around 7.0/10 from 5766 votes.","Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan",not available,23-12-2009,en,7,5766,TMDB 5000 Movie Dataset
280092,Insidious: Chapter 3,"A twisted new tale of terror begins for a teenage girl and her family, predating the haunting of the Lambert family in the earlier movies and revealing more mysteries of the otherworldly realm The Further.","Drama, Horror, Thriller","Mixed-to-positive audience reaction. Some viewers liked the pacing, others found parts uneven. Score 6.2/10.","Dermot Mulroney, Stefanie Scott, Lin Shaye, Leigh Whannell, Angus Sampson",Leigh Whannell,04-06-2015,en,6.2,983,TMDB 5000 Movie Dataset
671,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",Adventure; Fantasy; Family,REVIEW: strong audience response; many viewers praise harry potter and the philosopher's stone for story and performances. rating: 7.5/10 (7006 votes)....,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton",Chris Columbus,,en,7.5,7006,TMDB 5000 Movie Dataset
700,Octopussy,James Bond is sent to investigate after a fellow “00” agent is found dead with a priceless Farberge egg. James bond follows the mystery and uncovers a smuggling scandal and a Russian General who wants to provoke a new World War.,"Adventure, Action, Thriller","Decent watch; not perfect, but audience rating is around 6.2/10 from 527 votes.","Roger Moore, Maud Adams, Louis Jourdan, Kristina Wayborn, Kabir Bedi",John Glen,05-06-1983,en,6.2,527,TMDB 5000 Movie Dataset
10193,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.","Animation, Family, Comedy",Strong audience response; many viewers praise Toy Story 3 for story and performances. Rating: 7.6/10 (4597 votes).,"Tom Hanks, Tim Allen, Ned Beatty, Joan Cusack, Michael Keaton",Lee Unkrich,16-06-2010,en,7.6,4597,TMDB 5000 Movie Dataset
98357,Broken City,"In a broken city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor. Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare.","Thriller, Crime, Drama",Average audience response; divisive movie with rating 5.7/10.,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright, Barry Pepper",Allen Hughes,18-01-2013,en,5.7,593,TMDB 5000 Movie Dataset
4584,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","Drama, Romance",N/A,"Kate Winslet, Emma Thompson, Hugh Grant, Tom Wilkinson, Alan Rickman",Ang Lee,13-12-1995,en,7.2,352,TMDB 5000 Movie Dataset
43074,Ghostbusters,,"Action, Fantasy, Comedy",not bad not great; audience_score:5.3; votes:2142,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones, Chris Hemsworth",Paul Feig,14-07-2016,en,5.3,2142,TMDB 5000 Movie Dataset
8068,Desperado,A gunslinger is embroiled in a war with a local drug runner.,"Thriller, Action, Crime","Decent watch; not perfect, but audience rating is around 6.8/10 from 881 votes.","Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin, Steve Buscemi",Robert Rodriguez,25-08-1995,en,6.8,881,TMDB 5000 Movie Dataset
142,Brokeback Mountain,Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ’63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.,"Drama, Romance",Strong audience response; many viewers praise Brokeback Mountain for story and performances. Rating: 7.5/10 (1480 votes).,"Heath Ledger, Jake Gyllenhaal, Randy Quaid, Michelle Williams, Anne Hathaway",Ang Lee,02-Sep-05,en,7.5,1480,TMDB 5000 Movie Dataset
668,On Her Majesty's Secret Service,"James Bond tracks archnemesis Ernst Blofeld to a mountaintop retreat where he's training an army of beautiful but lethal women. Along the way, Bond falls for Italian contessa Tracy Draco -- and marries her in order to get closer to Blofeld. Meanwhile, he locates Blofeld in the Alps and embarks on a classic ski chase.","Adventure, Action, Thriller","review: okay/good film, some issues; rating=6.5","George Lazenby, Diana Rigg, Telly Savalas, Gabriele Ferzetti, Ilse Steppat",Peter R. Hunt,12-12-1969,en,6.5,456,TMDB 5000 Movie Dataset
2667,The Blair Witch Project,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.","Horror, Mystery","Decent watch; not perfect, but audience rating is around 6.3/10 from 1055 votes.","Michael C. Williams, Heather Donahue, Joshua Leonard, Bob Griffith, Jim King","Daniel Myrick, Eduardo Sánchez",14-07-1999,en,6.3,1055,TMDB 5000 Movie Dataset
841,Dune,"In the year 10,191, the world is at war for control of the desert planet Dune – the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters.","Action, Science Fiction, Adventure","review: okay/good film, some issues; rating=6.5","Kyle MacLachlan, Francesca Annis, Leonardo Cimino, Brad Dourif, José Ferrer",David Lynch,14-12-1984,en,6.5,562,TMDB 5000 Movie Dataset
23742,Cop Out,"Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar opposites – especially when Paul's unpredictable antics get them suspended without pay. Already strapped for cash and trying to pay for his daughter's wedding, Jimmy decides to sell a rare baseball card that's worth tens of thousands. Unfortunately, when the collector's shop is robbed and the card vanishes with the crook, Paul and Jimmy end up going rogue, tracking down the card and the drug ring behind its theft, all on their own time, and without any backup – except for each other.","Action, Comedy, Crime","Mixed reviews. Viewers mention weak areas, but some still found it entertaining. Avg rating 5.3/10.","Bruce Willis,  Tracy Morgan,  Juan Carlos Hernández,  Seann William Scott,  Michelle Trachtenberg",Kevin Smith,26-02-2010,en,5.3,511,TMDB 5000 Movie Dataset
285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","Adventure, Fantasy, Action","Decent watch; not perfect, but audience rating is around 6.9/10 from 4500 votes.","Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Chow Yun-fat",Gore Verbinski,19-05-2007,en,6.9,4500,TMDB 5000 Movie Dataset
